"card_id","cluster","lane","label_en","snomed_code","icd_code","icd_description","chapter_tag","source_map_type"
"strictv2-anxiety_panic-001","anxiety_panic","symptom","Acute panic state due to acute stress reaction","192037000","F43.0","Acute stress reaction","F","ALWAYS F43.0"
"strictv2-anxiety_panic-002","anxiety_panic","symptom","Adjustment disorder with anxiety","47372000","F43.2","Adjustment disorders","F","ALWAYS F43.2"
"strictv2-anxiety_panic-003","anxiety_panic","symptom","Adjustment disorder with mixed anxiety and depressed mood","782501005","F41.2","Mixed anxiety and depressive disorder","F","ALWAYS F41.2"
"strictv2-anxiety_panic-004","anxiety_panic","symptom","Agitation","24199005","R45.1","Restlessness and agitation","R","ALWAYS R45.1"
"strictv2-anxiety_panic-005","anxiety_panic","symptom","Agitation due to dementia","788862002","R45.1","Restlessness and agitation","R","ALWAYS R45.1"
"strictv2-anxiety_panic-006","anxiety_panic","symptom","Agoraphobia with panic attacks","191722009","F40.0","Agoraphobia","F","ALWAYS F40.0"
"strictv2-anxiety_panic-007","anxiety_panic","symptom","Anticipatory anxiety","35429005","F41.8","Other specified anxiety disorders","F","ALWAYS F41.8"
"strictv2-anxiety_panic-008","anxiety_panic","symptom","Anticipatory anxiety, mild","11458009","F41.8","Other specified anxiety disorders","F","ALWAYS F41.8"
"strictv2-anxiety_panic-009","anxiety_panic","symptom","Anticipatory anxiety, moderate","36646009","R45.8","Other symptoms and signs involving emotional state","R","ALWAYS R45.8"
"strictv2-anxiety_panic-010","anxiety_panic","symptom","Anticipatory anxiety, severe","5874002","F41.9","Anxiety disorder, unspecified","F","ALWAYS F41.9"
"strictv2-anxiety_panic-011","anxiety_panic","symptom","Anxiety","48694002","F41.9","Anxiety disorder, unspecified","F","ALWAYS F41.9"
"strictv2-anxiety_panic-012","anxiety_panic","symptom","Anxiety about altered body image","225644006","F41.9","Anxiety disorder, unspecified","F","ALWAYS F41.9"
"strictv2-anxiety_panic-013","anxiety_panic","symptom","Anxiety about appearing ridiculous","277838008","F40.8","Other phobic anxiety disorders","F","ALWAYS F40.8"
"strictv2-anxiety_panic-014","anxiety_panic","symptom","Anxiety about becoming fat","277831002","F40.8","Other phobic anxiety disorders","F","ALWAYS F40.8"
"strictv2-anxiety_panic-015","anxiety_panic","symptom","Anxiety about behavior or performance","247825008","F41.8","Other specified anxiety disorders","F","ALWAYS F41.8"
"strictv2-anxiety_panic-016","anxiety_panic","symptom","Anxiety about blushing","89225005","F40.2","Specific (isolated) phobias","F","ALWAYS F40.2 | MAPPED FOLLOWING WHO GUIDANCE"
"strictv2-anxiety_panic-017","anxiety_panic","symptom","Anxiety about body function or health","247808006","F40.8","Other phobic anxiety disorders","F","ALWAYS F40.8"
"strictv2-anxiety_panic-018","anxiety_panic","symptom","Anxiety about breathlessness","702535006","R45.8","Other symptoms and signs involving emotional state","R","ALWAYS R45.8"
"strictv2-anxiety_panic-019","anxiety_panic","symptom","Anxiety about choking","277822002","F40.8","Other phobic anxiety disorders","F","ALWAYS F40.8"
"strictv2-anxiety_panic-020","anxiety_panic","symptom","Anxiety about collapsing","277824001","F40.8","Other phobic anxiety disorders","F","ALWAYS F40.8"
"strictv2-anxiety_panic-000","anxiety_panic","symptom","Racing thoughts","285303006","R41.8","Other and unspecified symptoms and signs involving cognitive functions and awareness","R","ALWAYS R41.8"
"strictv2-dissociation-001","dissociation","symptom","Acute confusional state, post-traumatic","191501001","F44.8","Other dissociative [conversion] disorders","F","ALWAYS F44.8"
"strictv2-dissociation-002","dissociation","symptom","Amnesia","48167000","R41.3","Other amnesia","R","ALWAYS R41.3"
"strictv2-dissociation-003","dissociation","symptom","Amnesia for day to day facts","247607004","R41.3","Other amnesia","R","ALWAYS R41.3"
"strictv2-dissociation-004","dissociation","symptom","Amnesia for important personal information","247611005","R41.3","Other amnesia","R","ALWAYS R41.3"
"strictv2-dissociation-005","dissociation","symptom","Amnesia for recent events","42176003","R41.3","Other amnesia","R","ALWAYS R41.3"
"strictv2-dissociation-006","dissociation","symptom","Amnesia for remote events","6149008","R41.3","Other amnesia","R","ALWAYS R41.3"
"strictv2-dissociation-007","dissociation","symptom","Amnesia neurosis","84209002","F44.0","Dissociative amnesia","F","ALWAYS F44.0"
"strictv2-dissociation-008","dissociation","symptom","Chronic confusional state","280994000","F44.8","Other dissociative [conversion] disorders","F","ALWAYS F44.8"
"strictv2-dissociation-009","dissociation","symptom","Complex dissociative intrusion disorder","762461003","F44.8","Other dissociative [conversion] disorders","F","ALWAYS F44.8"
"strictv2-dissociation-010","dissociation","symptom","Confusional state","286933003","F44.8","Other dissociative [conversion] disorders","F","ALWAYS F44.8 | DESCENDANTS NOT EXHAUSTIVELY MAPPED"
"strictv2-dissociation-011","dissociation","symptom","Dissociated anaesthesia","276299000","F44.6","Dissociative anaesthesia and sensory loss","F","ALWAYS F44.6"
