card_id,lane,label_en,snomed_code,icd_code,icd_description,chapter_tag,source_map_type
seed-symptom-001,symptom,Racing thoughts,285303006,R41.8,Other and unspecified symptoms and signs involving cognitive functions and awareness,R,ALWAYS R41.8
seed-symptom-002,symptom,[X]Attention deficit disorder,35253001,F90.0,Disturbance of activity and attention,F,ALWAYS F90.0
seed-symptom-003,symptom,AAMI - Age-associated memory impairment,231448004,R41.8,Other and unspecified symptoms and signs involving cognitive functions and awareness,R,ALWAYS R41.8
seed-symptom-004,symptom,Abdominal distension,41931001,R14,Flatulence and related conditions,R,ALWAYS R14
seed-symptom-005,symptom,Abdominal distension symptom,162068007,R14,Flatulence and related conditions,R,ALWAYS R14
seed-symptom-006,symptom,"Abdominal distension, gaseous",271835004,R14,Flatulence and related conditions,R,ALWAYS R14
seed-symptom-007,symptom,Able to control anger,285848000,R45.4,Irritability and anger,R,ALWAYS R45.4
seed-symptom-008,symptom,Abnormal anal Papanicolaou smear,439855007,R85.6,Abnormal findings in specimens from digestive organs and abdominal cavity: Abnormal cytological findings,R,ALWAYS R85.6
seed-symptom-009,symptom,Abnormal anxiety related behavior,1141959006,R46.2,Strange and inexplicable behaviour,R,ALWAYS R46.2 | POSSIBLE REQUIREMENT FOR ADDITIONAL CODE TO FULLY DESCRIBE DISEASE OR CONDITION
seed-symptom-010,symptom,Abnormal cardiotochogram tracing,735205007,R94.3,Abnormal results of cardiovascular function studies,R,ALWAYS R94.3
seed-symptom-011,symptom,Abnormal cervical Papanicolaou smear,439888000,R87.6,Abnormal findings in specimens from female genital organs: Abnormal cytological findings,R,ALWAYS R87.6
seed-symptom-012,symptom,Abnormal cervical Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected,441667007,R87.6,Abnormal findings in specimens from female genital organs: Abnormal cytological findings,R,ALWAYS R87.6
seed-symptom-013,symptom,Abnormal extension,19212008,R29.8,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,R,ALWAYS R29.8
seed-symptom-014,symptom,Abnormal fear,386808001,F40.9,"Phobic anxiety disorder, unspecified",F,ALWAYS F40.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED
seed-symptom-015,symptom,Abnormal food appetite,51575000,F50.9,"Eating disorder, unspecified",F,ALWAYS F50.9
seed-symptom-016,symptom,Abnormal vaginal Papanicolaou smear,439856008,R87.6,Abnormal findings in specimens from female genital organs: Abnormal cytological findings,R,ALWAYS R87.6
seed-symptom-017,symptom,Abuse of antidepressant drug,191928000,F55,Abuse of non-dependence-producing substances,F,ALWAYS F55
seed-symptom-018,symptom,Aching headache,162307009,R51,Headache,R,ALWAYS R51
seed-symptom-019,symptom,Acute depression,712823008,F32.9,"Depressive episode, unspecified",F,ALWAYS F32.9
seed-symptom-020,symptom,Acute edema - cutaneous distension syndrome,403176008,R60.9,"Oedema, unspecified",R,ALWAYS R60.9
seed-symptom-021,symptom,Acute fugue state due to acute stress reaction,192038005,F43.0,Acute stress reaction,F,ALWAYS F43.0
seed-symptom-022,symptom,Acute headache,735938006,R51,Headache,R,ALWAYS R51
seed-symptom-023,symptom,Acute headache due to craniotomy,1259065003,R51,Headache,R,ALWAYS R51
