"card_id","cluster","lane","label_en","snomed_code","icd_code","icd_description","chapter_tag","source_map_type"
"strict-anxiety_panic-001","anxiety_panic","symptom","Abnormal anal Papanicolaou smear","439855007","R85.6","Abnormal findings in specimens from digestive organs and abdominal cavity: Abnormal cytological findings","R","ALWAYS R85.6"
"strict-anxiety_panic-002","anxiety_panic","symptom","Abnormal anxiety related behavior","1141959006","R46.2","Strange and inexplicable behaviour","R","ALWAYS R46.2 | POSSIBLE REQUIREMENT FOR ADDITIONAL CODE TO FULLY DESCRIBE DISEASE OR CONDITION"
"strict-anxiety_panic-003","anxiety_panic","symptom","Abnormal auditory evoked potential","102971006","R94.1","Abnormal results of function studies of peripheral nervous system and special senses","R","ALWAYS R94.1"
"strict-anxiety_panic-004","anxiety_panic","symptom","Abnormal axonal conduction","88772000","R94.1","Abnormal results of function studies of peripheral nervous system and special senses","R","ALWAYS R94.1"
"strict-anxiety_panic-005","anxiety_panic","symptom","Abnormal bone formation","36123008","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-006","anxiety_panic","symptom","Abnormal brain stem auditory evoked potential","102974003","R94.0","Abnormal results of function studies of central nervous system","R","ALWAYS R94.0"
"strict-anxiety_panic-007","anxiety_panic","symptom","Abnormal cerebral evoked potential","102965000","R94.0","Abnormal results of function studies of central nervous system","R","ALWAYS R94.0"
"strict-anxiety_panic-008","anxiety_panic","symptom","Abnormal cervical Papanicolaou smear","439888000","R87.6","Abnormal findings in specimens from female genital organs: Abnormal cytological findings","R","ALWAYS R87.6"
"strict-anxiety_panic-009","anxiety_panic","symptom","Abnormal cervical Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected","441667007","R87.6","Abnormal findings in specimens from female genital organs: Abnormal cytological findings","R","ALWAYS R87.6"
"strict-anxiety_panic-010","anxiety_panic","symptom","Abnormal electronystagmogram","441328008","R94.1","Abnormal results of function studies of peripheral nervous system and special senses","R","ALWAYS R94.1"
"strict-anxiety_panic-011","anxiety_panic","symptom","Abnormal evoked potential","102962002","R94.1","Abnormal results of function studies of peripheral nervous system and special senses","R","ALWAYS R94.1"
"strict-anxiety_panic-012","anxiety_panic","symptom","Abnormal extension","19212008","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-013","anxiety_panic","symptom","Abnormal fear","386808001","F40.9","Phobic anxiety disorder, unspecified","F","ALWAYS F40.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED"
"strict-anxiety_panic-014","anxiety_panic","symptom","Abnormal flexion","123623009","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-015","anxiety_panic","symptom","Abnormal head circumference in relation to growth / age standard","422695002","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-016","anxiety_panic","symptom","Abnormal movement in bone","271775000","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-017","anxiety_panic","symptom","Abnormal nerve conduction","24480009","R94.1","Abnormal results of function studies of peripheral nervous system and special senses","R","ALWAYS R94.1"
"strict-anxiety_panic-018","anxiety_panic","symptom","Abnormal nervous system function","13028004","R29.8","Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems","R","ALWAYS R29.8"
"strict-anxiety_panic-000","anxiety_panic","symptom","Racing thoughts","285303006","R41.8","Other and unspecified symptoms and signs involving cognitive functions and awareness","R","ALWAYS R41.8"
"strict-dissociation-001","dissociation","symptom","Acute confusional state, post-traumatic","191501001","F44.8","Other dissociative [conversion] disorders","F","ALWAYS F44.8"
"strict-dissociation-002","dissociation","symptom","Acute hysterical psychosis","191677006","F44.9","Dissociative [conversion] disorder, unspecified","F","ALWAYS F44.9"
"strict-dissociation-003","dissociation","symptom","Adult dyssocial behavior","56452008","F60.2","Dissocial personality disorder","F","ALWAYS F60.2"
"strict-dissociation-004","dissociation","symptom","Affective seizure","246537007","F44.5","Dissociative convulsions","F","ALWAYS F44.5"
